_id,date_sent,date_received,thread_id,from_recipient_id,to_recipient_id,body,receipt_timestamp,quote_id,quote_author,quote_body,quote_missing,reactions_last_seen
6,1673137959372,1673137959639,2,2,18,Have you tried the latest Xbox game?,-1,0.0,0.0,,0,-1
7,1673141731615,1673141738983,2,8,8,,-1,0.0,0.0,,0,1673146706775
8,1673142227247,1673142228058,2,5,5,Sunsets are so beautiful.,-1,1673114660940.0,17.0,?!?!?,1,1673142232816
9,1673142249824,1673142249856,2,2,18,I love hiking in the mountains.,1673142255605,0.0,0.0,,0,-1
10,1673142278625,1673142278635,2,2,18,Basketball is so exciting!,1673142281886,0.0,0.0,,0,-1
11,1673142408903,1673142409400,2,6,6,Have you seen the Oscar nominees?,-1,1673142374197.0,5.0,Mystery books are so engaging.,0,1673142413857
12,1673142500852,1673142501611,2,5,5,I love spicy Thai food.,-1,1673142408903.0,6.0,Have you seen the Oscar nominees?,0,1673146706775
13,1673316904017,1673316907807,2,7,7,Learning languages is fun.,-1,0.0,0.0,,0,1673379817291
14,1673378972279,1673378974664,2,9,9,I got a new pair of shoes.,-1,0.0,0.0,,0,1673379818172
15,1673379727629,1673379738984,2,6,6,,-1,0.0,0.0,,0,1673379818172
16,1673380085420,1673380088195,2,14,14,,-1,0.0,0.0,,0,1673382297178
17,1673455859405,1673457270731,2,12,12,I love vintage clothing.,-1,0.0,0.0,,0,1673457771791
18,1673461619930,1673461640613,2,10,10,,-1,0.0,0.0,,0,1673552139405
19,1673461802737,1673461810893,2,14,14,I'm planning a trip to Europe.,-1,1673459213971.0,16.0,The latest Marvel movie was awesome!,0,1673465706385
20,1673461905912,1673461906427,2,14,14,I love romantic comedies.,-1,1673461643478.0,10.0,I'm studying for my exams.,0,1673465708311
21,1673461915982,1673461916635,2,6,6,Summer fashion trends are so colorful.,-1,1673456299463.0,12.0,I love romantic comedies.,0,1673465708311
22,1673476982037,1673476986698,2,9,9,I've started doing yoga.,-1,0.0,0.0,,0,1673552139405
23,1673548480908,1673548483831,2,11,11,,-1,0.0,0.0,,0,1673552139398
25,1673141735260,1673141738903,2,8,8,Virtual reality is the future.,-1,0.0,0.0,,0,1673141744073
26,1673142181329,1673142182944,2,5,5,I got a new pair of shoes.,-1,0.0,0.0,,0,1673142232811
27,1673142267741,1673142268452,2,5,5,I'm planning a trip to Europe.,-1,0.0,0.0,,0,1673142272297
28,1673142374197,1673142375439,2,5,5,Mystery books are so engaging.,-1,0.0,0.0,,0,1673142379775
29,1673146307386,1673146318909,2,7,7,I love spicy Thai food.,-1,0.0,0.0,,0,1673146706768
30,1673146337216,1673146337776,2,6,6,Saving money is important.,-1,0.0,0.0,,0,1673318395218
31,1673146359841,1673146360436,2,9,9,I've started doing yoga.,-1,0.0,0.0,,0,1673146706768
32,1673146391567,1673146391984,2,5,5,Nature is so refreshing.,-1,0.0,0.0,,0,1673146706768
33,1673146416019,1673146416513,2,10,10,I love hiking in the mountains.,-1,0.0,0.0,,0,1673146706768
34,1673146486717,1673146487243,2,7,7,Meditation is so relaxing.,-1,0.0,0.0,,0,1673146706768
35,1673146524906,1673146525438,2,5,5,Summer fashion trends are so colorful.,-1,0.0,0.0,,0,1673146706768
36,1673366073078,1673366076507,2,9,9,I got a new fish tank.,-1,0.0,0.0,,0,1673379817288
37,1673366797192,1673376903634,2,7,7,I'm taking an online course.,-1,0.0,0.0,,0,1673379817288
38,1673378857980,1673378866554,2,14,14,I love romantic comedies.,-1,0.0,0.0,,0,1673379817288
39,1673378871981,1673378874244,2,9,9,I'm planning a trip to Europe.,-1,0.0,0.0,,0,1673379817288
40,1673378892522,1673378894669,2,6,6,Have you read the latest bestseller?,-1,0.0,0.0,,0,1673379817288
41,1673378899904,1673378902112,2,9,9,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673379817288
42,1673378908713,1673378910939,2,9,9,Meditation is so relaxing.,-1,0.0,0.0,,0,1673379817288
43,1673378917704,1673378919891,2,9,9,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673379817288
44,1673378937527,1673378939617,2,6,6,Have you read the latest bestseller?,-1,0.0,0.0,,0,1673379818172
45,1673378940548,1673378942603,2,14,14,I love vintage clothing.,-1,0.0,0.0,,0,1673379818172
46,1673379419704,1673379423413,2,7,7,I'm on a new diet.,-1,0.0,0.0,,0,1673379818172
47,1673379439358,1673379441924,2,7,7,I just finished reading a great novel.,-1,0.0,0.0,,0,1673379818172
48,1673379495669,1673379498088,2,16,16,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673379818172
49,1673379658657,1673379661089,2,14,14,Learning languages is fun.,-1,0.0,0.0,,0,1673379818172
50,1673379719627,1673379721773,2,6,6,I love romantic comedies.,-1,0.0,0.0,,0,1673379818172
51,1673379790814,1673379793231,2,7,7,Saving money is important.,-1,0.0,0.0,,0,1673379818172
52,1673379811142,1673379813469,2,9,9,Saving money is important.,-1,0.0,0.0,,0,1673379818172
53,1673379817420,1673379819408,2,7,7,Virtual reality is the future.,-1,0.0,0.0,,0,1673379821443
54,1673380043187,1673380048168,2,19,19,Beaches are my favorite vacation spots.,-1,0.0,0.0,,0,1673382297176
55,1673380075854,1673380077935,2,14,14,Have you tried the latest Xbox game?,-1,0.0,0.0,,0,1673382297176
56,1673380109758,1673380111945,2,9,9,Basketball is so exciting!,-1,0.0,0.0,,0,1673382297176
57,1673380160787,1673380162908,2,6,6,I'm thinking of investing in stocks.,-1,0.0,0.0,,0,1673382299942
58,1673380166110,1673380168177,2,6,6,Basketball is so exciting!,-1,0.0,0.0,,0,1673382299942
59,1673380459756,1673380462192,2,14,14,Saving money is important.,-1,0.0,0.0,,0,1673382299942
60,1673380921124,1673380928503,2,7,7,Learning languages is fun.,-1,0.0,0.0,,0,1673382299942
61,1673455975243,1673457270888,2,9,9,Tennis is a great workout.,-1,0.0,0.0,,0,1673457771770
62,1673455984194,1673457270942,2,11,11,Mystery books are so engaging.,-1,0.0,0.0,,0,1673457771770
63,1673456022628,1673457270978,2,10,10,I'm taking an online course.,-1,0.0,0.0,,0,1673457771770
64,1673456191631,1673457271253,2,17,17,I'm studying for my exams.,-1,0.0,0.0,,0,1673457774440
65,1673456207060,1673457271311,2,5,5,Saving money is important.,-1,0.0,0.0,,0,1673457775601
66,1673456299463,1673457271334,2,12,12,I love romantic comedies.,-1,0.0,0.0,,0,1673465706396
67,1673456986178,1673457271431,2,11,11,I'm studying for my exams.,-1,0.0,0.0,,0,1673457777083
68,1673457209219,1673457271470,2,6,6,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1673457777717
69,1673457461980,1673457466508,2,16,16,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1673457778066
70,1673457557676,1673457558691,2,16,16,I love watching football.,-1,0.0,0.0,,0,1673457778066
71,1673458746560,1673458748283,2,9,9,Homemade pizza is the best.,-1,0.0,0.0,,0,1673459257321
72,1673458808216,1673458808790,2,5,5,Summer fashion trends are so colorful.,-1,0.0,0.0,,0,1673459257321
73,1673458829095,1673458829597,2,5,5,I love watching football.,-1,0.0,0.0,,0,1673459257321
74,1673459177498,1673459179498,2,16,16,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1673459257321
75,1673459213971,1673459214598,2,16,16,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1673465706396
76,1673461643478,1673461644010,2,10,10,I'm studying for my exams.,-1,0.0,0.0,,0,1673465706370
77,1673461880239,1673461880869,2,14,14,Saving money is important.,-1,0.0,0.0,,0,1673465706370
78,1673463229758,1673463230439,2,12,12,Rock concerts are the best!,-1,0.0,0.0,,0,1673465708685
79,1673478361078,1673478378042,2,16,16,Tennis is a great workout.,-1,0.0,0.0,,0,1673552139404
80,1673549165389,1673549167916,2,19,19,Have you tried the latest Xbox game?,-1,0.0,0.0,,0,1673552139388
81,1673549525330,1673549530240,2,8,8,Learning languages is fun.,-1,0.0,0.0,,0,1673552139388
82,1673634656079,1673634658749,2,9,9,I just finished reading a great novel.,-1,0.0,0.0,,0,1673639425158
83,1673635624819,1673635651287,2,7,7,,-1,0.0,0.0,,0,1673639425150
84,1673636363303,1673636364895,2,16,16,I'm studying for my exams.,-1,0.0,0.0,,0,1673639425150
85,1673636391242,1673636392532,2,16,16,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673639425150
86,1673636501346,1673636503336,2,9,9,I reached a new level in my favorite game.,-1,0.0,0.0,,0,1673639425150
87,1673636743204,1673636751097,2,6,6,Saving money is important.,-1,0.0,0.0,,0,1673639425150
88,1673636748276,1673636751179,2,6,6,,-1,0.0,0.0,,0,1673639425150
89,1673636919820,1673637026823,2,7,7,Nature is so refreshing.,-1,0.0,0.0,,0,1673639425150
90,1673637044855,1673637045912,2,5,5,Learning languages is fun.,-1,0.0,0.0,,0,1673639425150
91,1673637526048,1673637527748,2,14,14,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1673639425150
92,1673638390011,1673638394492,2,16,16,Learning languages is fun.,-1,0.0,0.0,,0,1673639425150
93,1673638590288,1673638592470,2,7,7,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673639425150
94,1673638614854,1673638616442,2,6,6,I've started doing yoga.,-1,0.0,0.0,,0,1673639425150
95,1673640259390,1673640262553,2,16,16,I'm learning a new programming language.,-1,0.0,0.0,,0,1673648709485
96,1673647778116,1673647781687,2,10,10,,-1,0.0,0.0,,0,1673657524541
97,1673648513527,1673648518100,2,9,9,I just finished reading a great novel.,-1,0.0,0.0,,0,1673648709485
98,1673657068316,1673657070890,2,12,12,Have you read the latest bestseller?,-1,0.0,0.0,,0,1673657524536
99,1673657224299,1673657240601,2,12,12,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673663990196
100,1673658635895,1673658638655,2,10,10,I got a new fish tank.,-1,0.0,0.0,,0,1673659723224
101,1673658695231,1673658699192,2,6,6,Learning languages is fun.,-1,0.0,0.0,,0,1673659723224
102,1673662573098,1673662574855,2,7,7,I love watching football.,-1,0.0,0.0,,0,1673663990192
103,1673662869889,1673662871883,2,16,16,I'm taking an online course.,-1,0.0,0.0,,0,1673663990192
104,1673662972635,1673662973869,2,12,12,I got a new pair of shoes.,-1,0.0,0.0,,0,1673663990192
105,1673663228992,1673663230485,2,6,6,I'm studying for my exams.,-1,0.0,0.0,,0,1673663990192
106,1673663234396,1673663235784,2,7,7,I just finished reading a great novel.,-1,1673662972635.0,12.0,I got a new pair of shoes.,0,1673663994223
107,1673663261937,1673663263571,2,7,7,Virtual reality is the future.,-1,0.0,0.0,,0,1673663994223
108,1673665331782,1673665333713,2,12,12,Meditation is so relaxing.,-1,0.0,0.0,,0,1673698186638
109,1673672567178,1673672570165,2,7,7,I just finished reading a great novel.,-1,1673665331782.0,12.0,Meditation is so relaxing.,0,1673698186633
110,1673717965775,1673717969026,2,9,9,Learning languages is fun.,-1,1673658635895.0,10.0,I got a new fish tank.,0,1673718485608
111,1673718019255,1673718021312,2,9,9,I love spicy Thai food.,-1,0.0,0.0,,0,1673718485608
112,1673718031651,1673718032912,2,10,10,I got a new pair of shoes.,-1,0.0,0.0,,0,1673718485608
113,1673718077748,1673718079138,2,14,14,Basketball is so exciting!,-1,0.0,0.0,,0,1673718485608
114,1673722963862,1673722966724,2,6,6,I'm taking an online course.,-1,0.0,0.0,,0,1673724310937
115,1673723475996,1673723480425,2,16,16,,-1,0.0,0.0,,0,1673724310937
116,1673726090772,1673726094230,2,11,11,Meditation is so relaxing.,-1,0.0,0.0,,0,1673728754659
117,1673726118376,1673726119532,2,5,5,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673728754659
118,1673726379702,1673726381198,2,16,16,I love spicy Thai food.,-1,0.0,0.0,,0,1673728754659
119,1673726633437,1673726633437,2,61,61,Cryptocurrencies are so volatile.,-1,0.0,0.0,,0,-1
120,1673727412381,1673727806921,2,7,7,I went for a walk in the park.,-1,0.0,0.0,,0,1673728754659
121,1673746125821,1673746130630,2,9,9,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1673746620386
122,1673746620452,1673746620452,2,61,61,Homemade pizza is the best.,-1,0.0,0.0,,0,-1
123,1673746988646,1673746992136,2,12,12,Tennis is a great workout.,-1,0.0,0.0,,0,1673747680375
124,1673746989227,1673746992251,2,11,11,I love spicy Thai food.,-1,0.0,0.0,,0,1673747680375
125,1673747006345,1673747007644,2,9,9,Mystery books are so engaging.,-1,0.0,0.0,,0,1673747680375
126,1673747017284,1673747018484,2,12,12,Meditation is so relaxing.,-1,0.0,0.0,,0,1673747680375
127,1673815018912,1673815039118,2,12,12,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1673816238899
128,1673819918737,1673819918787,2,2,18,I'm thinking of investing in stocks.,1673819923703,0.0,0.0,,0,1673819940509
129,1673819943314,1673819943331,2,2,18,Saving money is important.,1673819952189,0.0,0.0,,0,1673820019549
130,1673819981622,1673819983001,2,14,14,Cryptocurrencies are so volatile.,-1,0.0,0.0,,0,1673823949100
131,1673820010945,1673820012528,2,8,8,I love romantic comedies.,-1,0.0,0.0,,0,1673820538287
132,1673823920619,1673823926537,2,19,19,I'm learning a new programming language.,-1,0.0,0.0,,0,1673824017178
133,1673823954525,1673823954550,2,2,18,Have you seen the Oscar nominees?,1673823953945,0.0,0.0,,0,-1
134,1673823963351,1673823971274,2,14,14,I went for a walk in the park.,-1,0.0,0.0,,0,1673823971473
135,1673823980453,1673823980461,2,2,18,Virtual reality is the future.,1673823979824,0.0,0.0,,0,-1
136,1673823991719,1673823995732,2,19,19,Cryptocurrencies are so volatile.,-1,0.0,0.0,,0,1673823995912
137,1673824017014,1673824017023,2,2,18,Beaches are my favorite vacation spots.,1673824019586,0.0,0.0,,0,-1
138,1673824018224,1673824019257,2,7,7,Mystery books are so engaging.,-1,1673823991719.0,19.0,Cryptocurrencies are so volatile.,0,1673824019486
139,1673824033375,1673824034450,2,7,7,Sunsets are so beautiful.,-1,0.0,0.0,,0,1673824034665
140,1673824044506,1673824044522,2,2,18,Cryptocurrencies are so volatile.,1673824047207,0.0,0.0,,0,-1
141,1673824059473,1673824060666,2,7,7,My dog is the cutest!,-1,0.0,0.0,,0,1673824060826
142,1673824069150,1673824069158,2,2,18,I'm taking an online course.,1673824071711,0.0,0.0,,0,-1
143,1673824090648,1673824091688,2,5,5,The new iPhone is amazing.,-1,0.0,0.0,,0,1673824091869
144,1673824103797,1673824104797,2,14,14,Tennis is a great workout.,-1,0.0,0.0,,0,1673824104977
145,1673825396589,1673825401588,2,19,19,Sunsets are so beautiful.,-1,0.0,0.0,,0,1673825407185
146,1673825628216,1673825630288,2,10,10,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1673826638126
147,1673825656651,1673825658272,2,14,14,Cats are so independent.,-1,0.0,0.0,,0,1673826638126
148,1673825780235,1673825781885,2,10,10,I love hiking in the mountains.,-1,0.0,0.0,,0,1673826638126
149,1673827471068,1673827473082,2,7,7,Sunsets are so beautiful.,-1,0.0,0.0,,0,1673828534463
150,1674051801102,1674051804453,2,14,14,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1674055851795
151,1674055225679,1674055229455,2,16,16,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1674055851795
152,1674233303642,1674233308837,2,8,8,,-1,0.0,0.0,,0,1674233340063
153,1674233337398,1674233340198,2,9,9,I'm thinking of investing in stocks.,-1,0.0,0.0,,0,1674233340591
154,1674234365474,1674234378776,2,16,16,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1674236916560
155,1674255056180,1674255059617,2,10,10,I love vintage clothing.,-1,0.0,0.0,,0,1674255633921
156,1674272012725,1674272017458,2,12,12,I love strategy games.,-1,0.0,0.0,,0,1674313518038
157,1674312681536,1674312685933,2,10,10,I'm planning a trip to Europe.,-1,0.0,0.0,,0,1674313518038
158,1674312738229,1674312741520,2,17,17,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1674313518038
159,1674312846472,1674312851081,2,12,12,I love hiking in the mountains.,-1,0.0,0.0,,0,1674313518038
160,1674312863326,1674312866197,2,10,10,I've started doing yoga.,-1,0.0,0.0,,0,1674313518038
161,1674313268262,1674313271930,2,16,16,Beaches are my favorite vacation spots.,-1,0.0,0.0,,0,1674313518038
162,1674313427678,1674313431863,2,12,12,I'm on a new diet.,-1,0.0,0.0,,0,1674313518038
163,1674323048598,1674323059978,2,19,19,,-1,0.0,0.0,,0,1674341308917
164,1674323141439,1674326259862,2,19,19,I went for a walk in the park.,-1,0.0,0.0,,0,1674327997047
165,1674325985204,1674326260123,2,5,5,,-1,0.0,0.0,,0,1674326268086
166,1674325991699,1674326260195,2,5,5,Basketball is so exciting!,-1,0.0,0.0,,0,1674327997047
167,1674326199580,1674326199580,2,62,62,I've started doing yoga.,-1,0.0,0.0,,0,-1
168,1674326758238,1674326849450,2,14,14,I'm studying for my exams.,-1,0.0,0.0,,0,1674327997046
169,1674340075064,1674340076778,2,62,62,Sunsets are so beautiful.,-1,0.0,0.0,,0,1674351041402
170,1674340617153,1674340618123,2,5,5,Nature is so refreshing.,-1,0.0,0.0,,0,1674341308915
171,1674341551741,1674341554332,2,12,12,,-1,0.0,0.0,,0,1674351041402
172,1674397343150,1674397345823,2,14,14,I'm thinking of investing in stocks.,-1,0.0,0.0,,0,1674400485340
173,1674397435351,1674397437151,2,14,14,Meditation is so relaxing.,-1,0.0,0.0,,0,1674400485340
174,1674397500069,1674397500777,2,5,5,Sunsets are so beautiful.,-1,0.0,0.0,,0,1674400485340
175,1674397727806,1674397731221,2,6,6,I'm thinking of investing in stocks.,-1,0.0,0.0,,0,1674400491490
176,1674397745777,1674397746638,2,8,8,I'm listening to the new Taylor Swift album.,-1,0.0,0.0,,0,1674400491490
177,1674397790472,1674397791280,2,8,8,Cryptocurrencies are so volatile.,-1,0.0,0.0,,0,1674400491490
178,1674397795914,1674397796159,2,5,5,Saving money is important.,-1,0.0,0.0,,0,1674400491490
179,1674397815485,1674397816982,2,9,9,Jazz is so soothing.,-1,0.0,0.0,,0,1674400491490
180,1674397845249,1674397845447,2,14,14,I'm taking an online course.,-1,0.0,0.0,,0,1674400491490
181,1674397884691,1674397886115,2,5,5,I've started doing yoga.,-1,0.0,0.0,,0,1674400498154
182,1674397885717,1674397886195,2,11,11,I'm taking an online course.,-1,0.0,0.0,,0,1674400498887
183,1674397908439,1674397909150,2,5,5,Cats are so independent.,-1,0.0,0.0,,0,1674400499642
184,1674397945878,1674397947148,2,6,6,,-1,0.0,0.0,,0,1674400501023
185,1674398468941,1674398470575,2,11,11,I'm studying for my exams.,-1,0.0,0.0,,0,1674400503170
186,1674398522643,1674398523587,2,9,9,I love strategy games.,-1,0.0,0.0,,0,1674400503307
187,1674398558576,1674398559474,2,14,14,I got a new fish tank.,-1,0.0,0.0,,0,1674400503796
188,1674398564431,1674398564751,2,5,5,Summer fashion trends are so colorful.,-1,0.0,0.0,,0,1674400503796
189,1674398578605,1674398579850,2,9,9,Have you read the latest bestseller?,-1,0.0,0.0,,0,1674400503796
190,1674398650135,1674398653140,2,6,6,I love hiking in the mountains.,-1,0.0,0.0,,0,1674401625386
191,1674398721487,1674398722334,2,8,8,Sunsets are so beautiful.,-1,0.0,0.0,,0,1674400504439
192,1674400852889,1674400854423,2,14,14,I got a new pair of shoes.,-1,0.0,0.0,,0,1674401625385
193,1674419107769,1674419111697,2,12,12,I'm taking an online course.,-1,0.0,0.0,,0,1674428687286
194,1674428699088,1674428699108,2,2,18,I tried a new Italian restaurant.,1674428702285,0.0,0.0,,0,-1
195,1674428734770,1674428735133,2,7,7,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1674428739395
196,1674435596391,1674435616933,2,6,6,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1674594991523
197,1674594949690,1674594951828,2,9,9,I'm studying for my exams.,-1,0.0,0.0,,0,1674594991522
198,1674594981975,1674594984102,2,9,9,,-1,0.0,0.0,,0,1674594991522
199,1674595072688,1674595073639,2,19,19,Sunsets are so beautiful.,-1,0.0,0.0,,0,1674595562279
200,1674595109819,1674595110068,2,9,9,I'm taking an online course.,-1,0.0,0.0,,0,1674595562279
201,1674595123897,1674595124158,2,9,9,I'm learning a new programming language.,-1,0.0,0.0,,0,1674595562279
202,1674595303161,1674595303897,2,11,11,The new iPhone is amazing.,-1,0.0,0.0,,0,1674595562279
203,1674595349140,1674595349679,2,5,5,I'm learning a new programming language.,-1,0.0,0.0,,0,1674595562279
204,1674595386885,1674595387162,2,9,9,Have you tried the latest Xbox game?,-1,0.0,0.0,,0,1674595562279
205,1674595396420,1674595396623,2,8,8,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1674595562279
206,1674595412164,1674595412973,2,9,9,Saving money is important.,-1,0.0,0.0,,0,1674595562279
207,1674595414483,1674595414601,2,5,5,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1674595562279
208,1674595436436,1674595436732,2,10,10,Learning languages is fun.,-1,0.0,0.0,,0,1674595562279
209,1674595481905,1674595482340,2,9,9,Nature is so refreshing.,-1,0.0,0.0,,0,1674595562279
210,1674595490642,1674595490783,2,5,5,I tried a new Italian restaurant.,-1,0.0,0.0,,0,1674595562279
211,1674595521615,1674595523108,2,9,9,Have you tried the latest Xbox game?,-1,0.0,0.0,,0,1674595562279
212,1674595555324,1674595556080,2,5,5,Cats are so independent.,-1,0.0,0.0,,0,1674595562279
213,1674595566751,1674595567062,2,9,9,I got a new fish tank.,-1,0.0,0.0,,0,1674595944503
214,1674595567755,1674595568724,2,19,19,Saving money is important.,-1,0.0,0.0,,0,1674595944503
215,1674595588705,1674595589016,2,9,9,The new iPhone is amazing.,-1,0.0,0.0,,0,1674595944503
216,1674595592822,1674595593044,2,6,6,The new iPhone is amazing.,-1,0.0,0.0,,0,1674595944503
217,1674595598208,1674595598560,2,17,17,I'm thinking of investing in stocks.,-1,0.0,0.0,,0,1674595944503
218,1674595642179,1674595642403,2,5,5,I love vintage clothing.,-1,0.0,0.0,,0,1674595944503
219,1674595658685,1674595658899,2,6,6,Beaches are my favorite vacation spots.,-1,0.0,0.0,,0,1674595944503
220,1674595681197,1674595681405,2,6,6,Saving money is important.,-1,0.0,0.0,,0,1674595944503
221,1674595751870,1674595752101,2,11,11,Meditation is so relaxing.,-1,1674595521615.0,9.0,Have you tried the latest Xbox game?,0,1674596039984
222,1674595767002,1674595767222,2,8,8,I'm studying for my exams.,-1,0.0,0.0,,0,1674596050364
223,1674596193413,1674596194337,2,8,8,Learning languages is fun.,-1,0.0,0.0,,0,1674596477216
224,1674596646205,1674596646217,2,12,12,Have you read the latest bestseller?,-1,0.0,0.0,,0,1674596733287
225,1674597144626,1674597144494,2,5,5,I'm studying for my exams.,-1,0.0,0.0,,0,1674597144712
226,1674608257766,1674608260773,2,7,7,,-1,0.0,0.0,,0,1674609217155
227,1674608448079,1674608449106,2,10,10,Have you read the latest bestseller?,-1,0.0,0.0,,0,1674609217137
228,1674608503021,1674608505856,2,19,19,The latest Marvel movie was awesome!,-1,0.0,0.0,,0,1674609217137
229,1674609012063,1674609012895,2,11,11,Learning languages is fun.,-1,0.0,0.0,,0,1674609217137
230,1674669347753,1674669389250,2,8,8,I love romantic comedies.,-1,0.0,0.0,,0,1674761773172
231,1674669355311,1674669389304,2,8,8,My dog is the cutest!,-1,0.0,0.0,,0,1674669604357
232,1674695707178,1674695713934,2,6,6,Have you read the latest bestseller?,-1,0.0,0.0,,0,1674696649993
233,1674695774255,1674695775431,2,14,14,I went for a walk in the park.,-1,0.0,0.0,,0,1674695782996
234,1674696485525,1674696487348,2,9,9,Have you seen the Oscar nominees?,-1,0.0,0.0,,0,1674696527321
235,1674696553021,1674696553628,2,14,14,Nature is so refreshing.,-1,0.0,0.0,,0,1674696649986
236,1674761302876,1674761305136,2,8,8,I love vintage clothing.,-1,0.0,0.0,,0,1674761773169
